#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1509 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:127 out:126 type:P dur:2 cpbdur:2 q:29.72 aq:24.10 tex:139833 mv:17901 misc:2234 imb:687 pmb:1206 smb:1707 d:- ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:29.67 aq:28.27 tex:27326 mv:14732 misc:2222 imb:79 pmb:1037 smb:2484 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:29.66 aq:24.54 tex:91679 mv:15643 misc:2406 imb:432 pmb:1283 smb:1885 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:29.84 aq:24.53 tex:95962 mv:15812 misc:2466 imb:409 pmb:1291 smb:1900 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:29.87 aq:24.96 tex:91174 mv:15783 misc:2291 imb:404 pmb:1272 smb:1924 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:29.91 aq:24.93 tex:85321 mv:15745 misc:2230 imb:412 pmb:1286 smb:1902 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:29.91 aq:25.40 tex:82699 mv:15646 misc:2279 imb:334 pmb:1330 smb:1936 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:30.07 aq:25.99 tex:77688 mv:14674 misc:2310 imb:326 pmb:1239 smb:2035 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:30.11 aq:24.96 tex:86435 mv:15439 misc:2358 imb:397 pmb:1310 smb:1893 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:30.16 aq:25.26 tex:75386 mv:15118 misc:2296 imb:356 pmb:1276 smb:1968 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:30.33 aq:25.55 tex:73561 mv:14092 misc:2131 imb:317 pmb:1243 smb:2040 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:30.36 aq:25.46 tex:70274 mv:14469 misc:2273 imb:335 pmb:1257 smb:2008 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:30.55 aq:26.26 tex:73691 mv:14223 misc:2126 imb:299 pmb:1246 smb:2055 d:- ref:0 ;
